epoch,accuracy,loss,val_accuracy,val_loss
0,0.47965678572654724,1.212964653968811,0.530259370803833,1.1224360466003418
1,0.6509825587272644,0.862941563129425,0.5734870433807373,1.0578950643539429
2,0.7320786118507385,0.6903663277626038,0.5734870433807373,1.1004787683486938
3,0.7946305274963379,0.5631019473075867,0.5734870433807373,1.1554704904556274
4,0.8375311493873596,0.4514216482639313,0.5677233338356018,1.2217353582382202
5,0.8538610339164734,0.3964245319366455,0.559077799320221,1.5042048692703247
6,0.8793246746063232,0.3370075225830078,0.5677233338356018,1.45303475856781
7,0.9067257046699524,0.2579873502254486,0.5763688683509827,1.5301414728164673
8,0.9186272025108337,0.23168998956680298,0.559077799320221,1.7310216426849365
9,0.9194574952125549,0.22923694550991058,0.5504322648048401,1.7068023681640625
10,0.9449211359024048,0.16962765157222748,0.5360230803489685,1.8766282796859741
11,0.950733482837677,0.14931420981884003,0.5763688683509827,2.0250027179718018
12,0.9554386734962463,0.13296566903591156,0.5706051588058472,1.892599105834961
13,0.9598671197891235,0.12471704930067062,0.6080691814422607,1.9203561544418335
14,0.9587600231170654,0.11994929611682892,0.5475504398345947,2.1855103969573975
15,0.9645723700523376,0.1103852242231369,0.5763688683509827,2.238187789916992
16,0.9654027223587036,0.10496727377176285,0.559077799320221,2.239150285720825
17,0.9712150692939758,0.08859547227621078,0.5821325778961182,2.2715682983398438
18,0.9665098190307617,0.09997529536485672,0.5677233338356018,2.4849960803985596
19,0.9698311686515808,0.09718918800354004,0.5533141493797302,2.4315948486328125
20,0.9698311686515808,0.09052952378988266,0.5331411957740784,2.5936944484710693
21,0.9712150692939758,0.08873122930526733,0.559077799320221,2.4108059406280518
22,0.9690008163452148,0.09545296430587769,0.5734870433807373,2.509251356124878
23,0.9651259183883667,0.09730911999940872,0.5504322648048401,2.4879066944122314
24,0.9684472680091858,0.09528123587369919,0.5619596838951111,2.594278335571289
